Rank Name Score Finish Time Q1 (3) Q2 (5) Q3 (7) Q4 (10)
1|mgch|25|0:51:11|0:41:11|0|0:35:40|1|0:25:51|0|0:21:35|0|
2|MaskRay|25|0:52:11|0:05:17|0|0:27:40|0|0:11:52|0|0:52:11|0|
3|lixx2100|25|0:53:12|0:08:14|0|0:22:19|1|0:31:36|0|0:43:12|0|
4|scottScott|25|1:14:25|0:09:37|0|0:29:29|0|0:40:22|0|1:14:25|0|
5|quanhoang|25|1:24:16|0:08:46|0|0:26:01|0|0:37:48|0|1:24:16|0|
6|Jolvmte|25|1:33:26|0:09:24|0|0:34:05|2|0:45:19|1|1:03:26|0|
7|rantd|25|1:45:59|0:05:56|0|0:36:11|4|0:17:10|0|1:05:59|0|
8|__Chaos__|25|1:56:02|1:26:02|0|0:15:44|3|0:21:46|0|1:20:54|0|
9|yang1e|25|2:08:34|1:58:34|0|0:23:47|0|0:43:01|0|1:34:18|1|
10|endoplasmic1357|25|2:13:38|0:25:05|1|1:53:38|1|0:34:48|0|1:27:43|0|
11|arosusti|25|2:15:03|0:04:57|0|0:14:18|1|0:27:57|3|1:35:03|0|
12|2997ms|25|2:39:32|0:13:12|0|0:34:05|3|0:50:30|0|1:49:32|2|
13|dalwise|25|3:38:12|0:09:58|0|0:33:57|6|0:57:08|2|1:58:12|2|
14|Bruno1|22|1:03:16|-1|-1|0:53:16|1|0:34:05|0|0:26:16|0|
15|wrbuaa2005|22|1:11:35|-1|-1|0:36:32|0|0:19:39|1|1:01:35|0|
16|wcwswswws|22|1:12:58|-1|-1|0:19:24|1|0:25:24|0|0:52:58|1|
17|tcui|22|1:31:20|-1|-1|0:25:11|0|1:01:54|1|1:21:20|0|
18|awice|22|1:46:04|-1|-1|0:13:50|1|0:41:20|2|1:16:04|0|
19|dikra|22|1:50:46|-1|-1|0:28:08|1|1:30:46|1|1:04:40|0|
20|yanzhan2|22|2:39:47|-1|-1|0:54:16|3|1:12:43|0|1:59:47|1|
21|donnod|22|3:00:25|-1|-1|0:19:01|1|0:29:46|2|1:50:25|4|
22|jzjsuper|20|0:48:19|0:32:11|0|-1|-1|0:25:10|0|0:48:19|0|
23|nevergiveup|20|1:07:24|0:10:14|0|-1|-1|0:41:45|1|0:57:24|0|
24|zhouxin913|20|1:15:11|0:17:07|0|-1|-1|0:55:14|0|1:15:11|0|
25|2guotou|20|1:15:44|0:11:04|0|-1|-1|0:44:20|0|1:05:44|1|
26|x____x|20|1:19:11|0:13:18|0|-1|-1|0:31:05|0|1:09:11|1|
27|nehcdnr|20|1:23:12|0:37:00|0|-1|-1|0:10:56|0|1:13:12|1|
28|nafi3000|20|1:28:03|1:18:03|0|-1|-1|0:43:53|0|0:33:12|1|
29|nikolas-a|20|1:29:29|0:13:48|0|-1|-1|0:44:31|0|1:29:29|0|
30|shdut|20|1:33:54|0:13:40|0|-1|-1|0:51:10|0|1:33:54|0|
31|Iamyxx|20|1:39:13|0:11:50|0|-1|-1|0:49:23|0|1:29:13|1|
32|busydog|20|1:57:52|1:27:52|0|-1|-1|1:09:05|3|0:29:40|0|
33|przemysaw2|20|1:58:27|1:48:27|1|-1|-1|0:41:16|0|1:23:18|0|
34|richzhu|20|2:14:56|0:25:11|0|-1|-1|1:35:37|3|1:44:56|0|
35|XBB_HOME|20|2:18:23|1:23:01|0|-1|-1|1:58:23|1|0:45:01|1|
36|mr_fang|17|0:46:12|-1|-1|-1|-1|0:18:50|0|0:46:12|0|
37|lytton|17|0:59:50|-1|-1|-1|-1|0:36:43|0|0:59:50|0|
38|nijinan|17|1:25:09|-1|-1|-1|-1|0:36:00|0|1:25:09|0|
39|SenyangZ|17|1:27:42|-1|-1|-1|-1|1:15:47|1|1:17:42|0|
40|2wsx2wsx2wsx|17|1:32:46|-1|-1|-1|-1|1:32:46|0|1:26:02|0|
41|andyepeacebow|17|1:34:23|-1|-1|-1|-1|1:34:23|0|1:18:42|0|
42|xuan18|17|1:49:00|-1|-1|-1|-1|0:57:11|0|1:39:00|1|
43|JustForWanShua|17|1:55:40|-1|-1|-1|-1|1:19:51|0|1:55:40|0|
44|Ruian|17|1:57:48|-1|-1|-1|-1|0:57:52|0|1:37:48|2|
45|Linmuadido|17|1:58:13|-1|-1|-1|-1|0:42:28|1|1:38:13|1|
46|chal|17|2:01:58|-1|-1|-1|-1|0:40:49|1|1:31:58|2|
47|LK21|17|2:28:00|-1|-1|-1|-1|1:12:50|2|1:48:00|2|
48|xiangjin|15|0:47:51|0:47:51|0|0:16:37|0|0:25:18|0|-1|-1|
49|zhiqing_xiao|15|1:04:23|0:19:22|0|0:45:50|0|1:04:23|0|-1|-1|
50|y119777|15|1:07:35|0:57:35|0|0:20:29|1|0:42:31|0|-1|-1|
51|Tanych|15|1:10:31|-1|-1|0:26:09|1|-1|-1|1:00:31|0|
52|lol0lol|15|1:33:55|-1|-1|0:31:26|0|-1|-1|1:33:55|0|
53|tony0055|15|1:37:36|0:58:08|0|1:37:36|0|0:30:35|0|-1|-1|
54|Sariabell|15|1:37:37|0:22:18|0|1:04:25|1|1:27:37|0|-1|-1|
55|sensir|15|1:40:50|0:07:52|0|0:27:12|1|1:30:50|0|-1|-1|
56|Clover27|15|1:45:44|0:32:48|0|1:04:11|0|1:35:44|1|-1|-1|
57|qweruiop|15|1:53:43|0:09:09|1|0:31:52|3|1:13:43|0|-1|-1|
58|ZYCSwing|15|1:58:36|0:19:04|0|1:04:05|2|1:38:36|0|-1|-1|
59|dengx162|15|2:13:07|1:18:34|1|1:24:04|0|1:53:07|1|-1|-1|
60|Serenasun|15|2:13:34|1:10:04|0|1:43:34|0|0:41:42|3|-1|-1|
61|SimonWhu|15|2:14:24|0:30:22|0|1:06:34|4|1:34:24|0|-1|-1|
62|ninjaVic|15|2:30:21|-1|-1|0:33:04|4|-1|-1|1:50:21|0|
63|liyinhgqw|15|3:17:32|0:18:56|0|1:32:28|8|1:57:32|0|-1|-1|
64|dettier|13|1:13:30|0:43:59|0|-1|-1|-1|-1|1:13:30|0|
65|yun|12|1:01:02|-1|-1|0:36:29|0|1:01:02|0|-1|-1|
66|coding2017|12|1:05:37|-1|-1|0:55:37|1|0:22:31|0|-1|-1|
67|zizhengwu|12|1:10:47|-1|-1|0:27:04|2|0:40:47|1|-1|-1|
68|coreychen|12|1:11:51|-1|-1|0:44:38|1|1:01:51|0|-1|-1|
69|nevgivin|12|1:19:24|-1|-1|1:09:24|1|0:35:55|0|-1|-1|
